X,Y,Risk
-50.00,-50.00,0.000000
-49.50,-50.00,0.000000
-48.99,-50.00,0.000000
-48.49,-50.00,0.000000
-47.99,-50.00,0.000000
-47.49,-50.00,0.000000
-46.98,-50.00,0.000000
-46.48,-50.00,0.000000
-45.98,-50.00,0.000000
-45.48,-50.00,0.000000
-44.97,-50.00,0.000000
-44.47,-50.00,0.000000
-43.97,-50.00,0.000000
-43.47,-50.00,0.000000
-42.96,-50.00,0.000000
-42.46,-50.00,0.000000
-41.96,-50.00,0.000000
-41.46,-50.00,0.000000
-40.95,-50.00,0.000000
-40.45,-50.00,0.000000
-39.95,-50.00,0.000000
-39.45,-50.00,0.000000
-38.94,-50.00,0.000000
-38.44,-50.00,0.000000
-37.94,-50.00,0.000000
-37.44,-50.00,0.000000
-36.93,-50.00,0.000000
-36.43,-50.00,0.000000
-35.93,-50.00,0.000000
-35.43,-50.00,0.000000
-34.92,-50.00,0.000000
-34.42,-50.00,0.000000
-33.92,-50.00,0.000000
-33.42,-50.00,0.000000
-32.91,-50.00,0.000000
-32.41,-50.00,0.000000
-31.91,-50.00,0.000000
-31.41,-50.00,0.000000
-30.90,-50.00,0.000000
-30.40,-50.00,0.000000
-29.90,-50.00,0.000000
-29.40,-50.00,0.000000
-28.89,-50.00,0.000000
-28.39,-50.00,0.000000
-27.89,-50.00,0.000000
-27.39,-50.00,0.000000
-26.88,-50.00,0.000000
-26.38,-50.00,0.000000
-25.88,-50.00,0.000000
-25.38,-50.00,0.000000
-24.87,-50.00,0.000000
-24.37,-50.00,0.000000
-23.87,-50.00,0.000000
-23.37,-50.00,0.000000
-22.86,-50.00,0.000000
-22.36,-50.00,0.000000
-21.86,-50.00,0.000000
-21.36,-50.00,0.000000
-20.85,-50.00,0.000000
-20.35,-50.00,0.000000
-19.85,-50.00,0.000000
-19.35,-50.00,0.000000
-18.84,-50.00,0.000000
-18.34,-50.00,0.000000
-17.84,-50.00,0.000000
-17.34,-50.00,0.000000
-16.83,-50.00,0.000000
-16.33,-50.00,0.000000
-15.83,-50.00,0.000000
-15.33,-50.00,0.000000
-14.82,-50.00,0.000000
-14.32,-50.00,0.000000
-13.82,-50.00,0.000000
-13.32,-50.00,0.000000
-12.81,-50.00,0.000000
-12.31,-50.00,0.000000
-11.81,-50.00,0.000000
-11.31,-50.00,0.000000
-10.80,-50.00,0.000000
-10.30,-50.00,0.000000
-9.80,-50.00,0.000000
-9.30,-50.00,0.000000
-8.79,-50.00,0.000000
-8.29,-50.00,0.000000
-7.79,-50.00,0.000000
-7.29,-50.00,0.000000
-6.78,-50.00,0.000000
-6.28,-50.00,0.000000
-5.78,-50.00,0.000000
-5.28,-50.00,0.000000
-4.77,-50.00,0.000000
-4.27,-50.00,0.000000
-3.77,-50.00,0.000000
-3.27,-50.00,0.000000
-2.76,-50.00,0.000000
-2.26,-50.00,0.000000
-1.76,-50.00,0.000000
-1.26,-50.00,0.000000
-0.75,-50.00,0.000000
-0.25,-50.00,0.000000
0.25,-50.00,0.001328
0.75,-50.00,0.003983
1.26,-50.00,0.006637
1.76,-50.00,0.009289
2.26,-50.00,0.011938
2.76,-50.00,0.014584
3.27,-50.00,0.017225
3.77,-50.00,0.019861
4.27,-50.00,0.022491
4.77,-50.00,0.025115
5.28,-50.00,0.027731
5.78,-50.00,0.030338
6.28,-50.00,0.032937
6.78,-50.00,0.035526
7.29,-50.00,0.038105
7.79,-50.00,0.040672
8.29,-50.00,0.043228
8.79,-50.00,0.045772
9.30,-50.00,0.048302
9.80,-50.00,0.050819
10.30,-50.00,0.053321
10.80,-50.00,0.055809
11.31,-50.00,0.058281
11.81,-50.00,0.060737
12.31,-50.00,0.063177
12.81,-50.00,0.065600
13.32,-50.00,0.068005
13.82,-50.00,0.070392
14.32,-50.00,0.072761
14.82,-50.00,0.075111
15.33,-50.00,0.077441
15.83,-50.00,0.079752
16.33,-50.00,0.082044
16.83,-50.00,0.084314
17.34,-50.00,0.086565
17.84,-50.00,0.088794
18.34,-50.00,0.091002
18.84,-50.00,0.093189
19.35,-50.00,0.095354
19.85,-50.00,0.097497
20.35,-50.00,0.099618
20.85,-50.00,0.101717
21.36,-50.00,0.103794
21.86,-50.00,0.105848
22.36,-50.00,0.107880
22.86,-50.00,0.109889
23.37,-50.00,0.111875
23.87,-50.00,0.113838
24.37,-50.00,0.115778
24.87,-50.00,0.117696
25.38,-50.00,0.119590
25.88,-50.00,0.121462
26.38,-50.00,0.123310
26.88,-50.00,0.125136
27.39,-50.00,0.126939
27.89,-50.00,0.128720
28.39,-50.00,0.130477
28.89,-50.00,0.132212
29.40,-50.00,0.133925
29.90,-50.00,0.135615
30.40,-50.00,0.137282
30.90,-50.00,0.138928
31.41,-50.00,0.140551
31.91,-50.00,0.142153
32.41,-50.00,0.143733
32.91,-50.00,0.145291
33.42,-50.00,0.146828
33.92,-50.00,0.148344
34.42,-50.00,0.149838
34.92,-50.00,0.151312
35.43,-50.00,0.152765
35.93,-50.00,0.154197
36.43,-50.00,0.155609
36.93,-50.00,0.157001
37.44,-50.00,0.158373
37.94,-50.00,0.159726
38.44,-50.00,0.161059
38.94,-50.00,0.162372
39.45,-50.00,0.163667
39.95,-50.00,0.164942
40.45,-50.00,0.166199
40.95,-50.00,0.167438
41.46,-50.00,0.168659
41.96,-50.00,0.169861
42.46,-50.00,0.171046
42.96,-50.00,0.172213
43.47,-50.00,0.173363
43.97,-50.00,0.174496
44.47,-50.00,0.175612
44.97,-50.00,0.176712
45.48,-50.00,0.177795
45.98,-50.00,0.178862
46.48,-50.00,0.179914
46.98,-50.00,0.180949
47.49,-50.00,0.181969
47.99,-50.00,0.182974
48.49,-50.00,0.183964
48.99,-50.00,0.184939
49.50,-50.00,0.185899
50.00,-50.00,0.186845
-50.00,-49.50,0.000000
-49.50,-49.50,0.000000
-48.99,-49.50,0.000000
-48.49,-49.50,0.000000
-47.99,-49.50,0.000000
-47.49,-49.50,0.000000
-46.98,-49.50,0.000000
-46.48,-49.50,0.000000
-45.98,-49.50,0.000000
-45.48,-49.50,0.000000
-44.97,-49.50,0.000000
-44.47,-49.50,0.000000
-43.97,-49.50,0.000000
-43.47,-49.50,0.000000
-42.96,-49.50,0.000000
-42.46,-49.50,0.000000
-41.96,-49.50,0.000000
-41.46,-49.50,0.000000
-40.95,-49.50,0.000000
-40.45,-49.50,0.000000
-39.95,-49.50,0.000000
-39.45,-49.50,0.000000
-38.94,-49.50,0.000000
-38.44,-49.50,0.000000
-37.94,-49.50,0.000000
-37.44,-49.50,0.000000
-36.93,-49.50,0.000000
-36.43,-49.50,0.000000
-35.93,-49.50,0.000000
-35.43,-49.50,0.000000
-34.92,-49.50,0.000000
-34.42,-49.50,0.000000
